credit_history,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
critical/other existing credit,1169.0,no known savings,7,4.0,none,4,real estate,67,none,own,2,skilled,1,yes,yes,1
existing paid,5951.0,<100,2,2.0,none,2,real estate,22,none,own,1,skilled,1,none,yes,0
critical/other existing credit,2096.0,<100,5,2.0,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,1
existing paid,7882.0,<100,5,2.0,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,1
delayed previously,4870.0,<100,2,3.0,none,4,no known property,53,none,for free,2,skilled,2,none,yes,0
existing paid,9055.0,no known savings,2,2.0,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,1
existing paid,2835.0,500<=X<1000,7,3.0,none,4,life insurance,53,none,own,1,skilled,1,none,yes,1
existing paid,6948.0,<100,2,2.0,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,3059.0,>=1000,5,2.0,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,5234.0,<100,0,4.0,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,0
existing paid,1295.0,<100,0,3.0,none,1,car,25,none,rent,1,skilled,1,none,yes,0
existing paid,4308.0,<100,0,3.0,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,0
existing paid,1567.0,<100,2,1.0,none,1,car,22,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,1199.0,<100,7,4.0,none,4,car,60,none,own,2,unskilled resident,1,none,yes,0
existing paid,1403.0,<100,2,2.0,none,4,car,28,none,rent,1,skilled,1,none,yes,1
existing paid,1282.0,100<=X<500,2,4.0,none,2,car,32,none,own,1,unskilled resident,1,none,yes,0
critical/other existing credit,2424.0,no known savings,7,4.0,none,4,life insurance,53,none,own,2,skilled,1,none,yes,1
no credits/all paid,8072.0,no known savings,0,2.0,none,3,car,25,bank,own,3,skilled,1,none,yes,1
existing paid,12579.0,<100,7,4.0,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,3430.0,500<=X<1000,7,3.0,none,2,car,31,none,own,1,skilled,2,yes,yes,1
critical/other existing credit,2134.0,<100,2,4.0,none,4,car,48,none,own,3,skilled,1,yes,yes,1
existing paid,2647.0,500<=X<1000,2,2.0,none,3,real estate,44,none,rent,1,skilled,2,none,yes,1
critical/other existing credit,2241.0,<100,0,1.0,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,1
critical/other existing credit,1804.0,100<=X<500,0,3.0,none,4,life insurance,44,none,own,1,skilled,1,none,yes,1
critical/other existing credit,2069.0,no known savings,2,2.0,none,1,car,26,none,own,2,skilled,1,none,no,1
existing paid,1374.0,<100,2,1.0,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,1
no credits/all paid,426.0,<100,7,4.0,none,4,car,39,none,own,1,unskilled resident,1,none,yes,1
all paid,409.0,>=1000,2,3.0,none,3,real estate,42,none,rent,2,skilled,1,none,yes,1
existing paid,2415.0,<100,2,3.0,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,1
delayed previously,6836.0,<100,7,3.0,none,4,no known property,63,none,own,2,skilled,1,yes,yes,0
existing paid,1913.0,>=1000,0,3.0,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,1
existing paid,4020.0,<100,2,2.0,none,2,car,27,stores,own,1,skilled,1,none,yes,1
existing paid,5866.0,100<=X<500,2,2.0,none,2,car,30,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,1264.0,no known savings,7,4.0,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,1
existing paid,1474.0,<100,0,4.0,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,4746.0,<100,0,4.0,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,0
critical/other existing credit,6110.0,<100,2,1.0,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,1
existing paid,2100.0,<100,2,4.0,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,0
existing paid,1225.0,<100,2,2.0,none,2,car,37,none,own,1,skilled,1,yes,yes,1
existing paid,458.0,<100,2,4.0,none,3,real estate,24,none,own,1,skilled,1,none,yes,1
existing paid,2333.0,500<=X<1000,7,4.0,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes,1
existing paid,1158.0,500<=X<1000,2,3.0,none,1,car,26,none,own,1,skilled,1,yes,yes,1
delayed previously,6204.0,<100,2,2.0,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,1
critical/other existing credit,6187.0,100<=X<500,5,1.0,none,4,car,24,none,rent,2,skilled,1,none,yes,1
critical/other existing credit,6143.0,<100,7,4.0,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes,0
critical/other existing credit,1393.0,<100,0,4.0,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,1
existing paid,2299.0,500<=X<1000,7,4.0,none,4,car,39,none,own,1,skilled,1,none,yes,1
existing paid,1352.0,500<=X<1000,0,1.0,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,1
critical/other existing credit,7228.0,<100,2,1.0,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,1
existing paid,2073.0,100<=X<500,2,4.0,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,1
delayed previously,2333.0,no known savings,0,4.0,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,1
delayed previously,5965.0,<100,7,1.0,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1262.0,<100,2,3.0,none,2,car,25,none,own,1,skilled,1,none,yes,1
existing paid,3378.0,no known savings,2,2.0,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,1
delayed previously,2225.0,<100,7,4.0,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,0
all paid,783.0,no known savings,2,1.0,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,1
existing paid,6468.0,no known savings,0,2.0,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,9566.0,<100,2,2.0,none,2,car,31,stores,own,2,skilled,1,none,yes,1
existing paid,1961.0,<100,7,3.0,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,1
critical/other existing credit,6229.0,<100,0,4.0,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,0
existing paid,1391.0,<100,2,2.0,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,1
critical/other existing credit,1537.0,no known savings,7,4.0,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,1
no credits/all paid,1953.0,<100,7,4.0,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0
no credits/all paid,14421.0,<100,2,2.0,none,2,car,25,none,own,1,skilled,1,yes,yes,0
existing paid,3181.0,<100,0,4.0,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,1
existing paid,5190.0,no known savings,7,4.0,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,1
existing paid,2171.0,<100,0,2.0,none,2,car,29,bank,own,1,skilled,1,none,yes,1
existing paid,1007.0,>=1000,2,4.0,none,1,real estate,22,none,own,1,skilled,1,none,yes,1
existing paid,1819.0,<100,2,4.0,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,0
existing paid,2394.0,no known savings,2,4.0,none,4,car,25,none,own,1,skilled,1,none,yes,1
existing paid,8133.0,<100,2,1.0,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,1
critical/other existing credit,730.0,no known savings,7,4.0,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,1
critical/other existing credit,1164.0,<100,7,3.0,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,1
critical/other existing credit,5954.0,<100,5,2.0,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,1
existing paid,1977.0,no known savings,7,4.0,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,1526.0,<100,7,4.0,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes,1
existing paid,3965.0,<100,0,4.0,none,3,car,34,none,own,1,skilled,1,none,yes,0
delayed previously,4771.0,<100,5,2.0,none,4,life insurance,51,none,own,1,skilled,1,none,yes,1
no credits/all paid,9436.0,no known savings,2,2.0,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,1
existing paid,3832.0,<100,0,2.0,none,1,life insurance,22,none,own,1,skilled,1,none,yes,1
existing paid,5943.0,no known savings,0,1.0,none,1,car,44,none,own,2,skilled,1,yes,yes,0
existing paid,1213.0,500<=X<1000,7,4.0,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,1
existing paid,1568.0,100<=X<500,2,3.0,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,1
existing paid,1755.0,<100,7,4.0,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,1
existing paid,2315.0,<100,7,3.0,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,1412.0,<100,2,4.0,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,1295.0,<100,0,4.0,none,1,life insurance,27,none,own,2,skilled,1,none,yes,1
existing paid,12612.0,100<=X<500,2,1.0,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,0
existing paid,2249.0,100<=X<500,5,4.0,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,1
no credits/all paid,1108.0,<100,5,4.0,none,3,real estate,28,none,own,2,skilled,1,none,yes,0
critical/other existing credit,618.0,<100,7,4.0,none,4,real estate,56,none,own,1,skilled,1,none,yes,1
critical/other existing credit,1409.0,<100,7,4.0,none,3,real estate,54,none,own,1,skilled,1,none,yes,1
critical/other existing credit,797.0,no known savings,7,4.0,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,0
critical/other existing credit,3617.0,no known savings,7,4.0,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,1
existing paid,1318.0,>=1000,7,4.0,none,4,real estate,54,none,own,1,skilled,1,yes,yes,1
no credits/all paid,15945.0,<100,0,3.0,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,0
critical/other existing credit,2012.0,no known savings,5,4.0,none,2,car,61,none,own,1,skilled,1,none,yes,1
existing paid,2622.0,100<=X<500,2,4.0,none,4,car,34,none,own,1,skilled,1,none,yes,1
critical/other existing credit,2337.0,<100,7,4.0,none,4,real estate,36,none,own,1,skilled,1,none,yes,1
delayed previously,7057.0,no known savings,5,3.0,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,1
existing paid,1469.0,100<=X<500,7,4.0,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,1
existing paid,2323.0,<100,5,4.0,none,4,car,24,none,rent,1,skilled,1,none,yes,1
delayed previously,932.0,<100,2,3.0,none,2,real estate,24,none,own,1,skilled,1,none,yes,1
critical/other existing credit,1919.0,<100,5,4.0,none,3,car,35,none,rent,1,skilled,1,yes,yes,1
existing paid,2445.0,no known savings,0,2.0,none,4,car,26,none,rent,1,skilled,1,yes,yes,1
critical/other existing credit,11938.0,<100,2,2.0,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,0
all paid,6458.0,<100,7,2.0,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,0
existing paid,6078.0,<100,5,2.0,none,2,car,32,none,own,1,skilled,1,none,yes,1
existing paid,7721.0,no known savings,0,1.0,none,2,life insurance,30,none,own,1,skilled,1,yes,no,1
existing paid,1410.0,500<=X<1000,7,1.0,none,2,real estate,35,none,own,1,skilled,1,yes,yes,1
delayed previously,1449.0,100<=X<500,7,1.0,none,2,car,31,bank,own,2,skilled,2,none,yes,1
existing paid,392.0,<100,0,4.0,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,1
existing paid,6260.0,<100,5,3.0,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,1
critical/other existing credit,7855.0,<100,2,4.0,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,0
